dataset,method,generation_time_sec,classifier_time_sec,combined_time_sec,granularity
abalone_19,ADASYN,,,7.6775046189626055,combined_only
abalone_19,G-SMOTE,,,9.206009864807129,combined_only
abalone_19,None,,,6.102667252222697,combined_only
abalone_19,SMOTE,,,7.797331889470418,combined_only
churn,ADASYN,,,6.383999347686768,combined_only
churn,G-SMOTE,,,7.346333185831706,combined_only
churn,None,,,5.390333890914917,combined_only
churn,SMOTE,,,6.114835739135742,combined_only
credit_default,ADASYN,,,78.7273643016815,combined_only
credit_default,G-SMOTE,,,88.67894252141316,combined_only
credit_default,None,,,56.65385945638021,combined_only
credit_default,SMOTE,,,87.63275249799092,combined_only
ecoli,ADASYN,,,1.8426658312479656,combined_only
ecoli,G-SMOTE,,,2.002502997716268,combined_only
ecoli,None,,,1.336000680923462,combined_only
ecoli,SMOTE,,,1.9606187343597412,combined_only
fraud_detection,ADASYN,,,201.65130058924356,combined_only
fraud_detection,G-SMOTE,,,294.3779087861379,combined_only
fraud_detection,None,,,90.31787021954854,combined_only
fraud_detection,SMOTE,,,189.4699125289917,combined_only
ibm_attrition,ADASYN,,,1.7249994277954102,combined_only
ibm_attrition,G-SMOTE,,,2.125667095184326,combined_only
ibm_attrition,None,,,1.5710036754608154,combined_only
ibm_attrition,SMOTE,,,1.7185068130493164,combined_only
mammography,ADASYN,,,23.713347276051838,combined_only
mammography,G-SMOTE,,,26.071656147638958,combined_only
mammography,None,,,7.043334325154622,combined_only
mammography,SMOTE,,,20.006126165390015,combined_only
pageblocks,ADASYN,,,3.061666170756022,combined_only
pageblocks,G-SMOTE,,,6.19283668200175,combined_only
pageblocks,None,,,1.7913453578948975,combined_only
pageblocks,SMOTE,,,3.042883316675822,combined_only
pima_diabetes,ADASYN,,,2.889667590459188,combined_only
pima_diabetes,G-SMOTE,,,2.955168088277181,combined_only
pima_diabetes,None,,,2.4416786829630532,combined_only
pima_diabetes,SMOTE,,,2.8876632849375405,combined_only
protein_homo,ADASYN,,,90.3798402150472,combined_only
protein_homo,G-SMOTE,,,123.84400177001953,combined_only
protein_homo,None,,,45.592839320500694,combined_only
protein_homo,SMOTE,,,92.4341717561086,combined_only
satellite,ADASYN,,,11.214006106058756,combined_only
satellite,G-SMOTE,,,10.11700987815857,combined_only
satellite,None,,,7.10217007001241,combined_only
satellite,SMOTE,,,10.943168799082438,combined_only
secom,ADASYN,,,2.756502151489258,combined_only
secom,G-SMOTE,,,3.0958388646443686,combined_only
secom,None,,,2.244999726613363,combined_only
secom,SMOTE,,,3.3055050373077393,combined_only
thyroid_sick,ADASYN,,,6.038171927134196,combined_only
thyroid_sick,G-SMOTE,,,8.192726135253906,combined_only
thyroid_sick,None,,,3.557999769846598,combined_only
thyroid_sick,SMOTE,,,5.919020652770996,combined_only
unsw_nb15,ADASYN,,,1497.6909077962239,combined_only
unsw_nb15,G-SMOTE,,,920.6818651358286,combined_only
unsw_nb15,None,,,112.66714723904927,combined_only
unsw_nb15,SMOTE,,,1379.727999528249,combined_only
wine_quality,ADASYN,,,9.211170434951782,combined_only
wine_quality,G-SMOTE,,,13.698532978693644,combined_only
wine_quality,None,,,6.879836002985637,combined_only
wine_quality,SMOTE,,,8.864503065745035,combined_only
yeast_me2,ADASYN,,,4.869000196456909,combined_only
yeast_me2,G-SMOTE,,,4.243332862854005,combined_only
yeast_me2,None,,,3.5793331464131675,combined_only
yeast_me2,SMOTE,,,4.770666678746541,combined_only
abalone_19,Q-G-CTGAN,15.577999999999998,0.7333333333333333,16.31133333333333,full_breakdown
