dataset,oversampler,classifier,auc_mean,auc_std,time_mean_sec,time_total_sec
protein_homo,NoOverSampling,RF,0.9923218192253532,0.0014548563235229,5.786971950531006,28.93485975265503
protein_homo,NoOverSampling,LGBM,0.9935128058363668,0.0012280881264307,0.6543999671936035,3.2719998359680176
protein_homo,NoOverSampling,MLP,0.9778812579530796,0.0078436900260544,45.59872574806214,227.99362874031067
protein_homo,SMOTE,RF,0.9921758854859128,0.0010699301460825,22.462487936019897,112.31243968009947
protein_homo,SMOTE,LGBM,0.9927375857170604,0.0005690694402784,1.383429193496704,6.9171459674835205
protein_homo,SMOTE,MLP,0.9806088455716366,0.0020709219423159,98.84774312973022,494.2387156486511
protein_homo,ADASYN,RF,0.9922873867846348,0.0009013403531829,19.418244504928587,97.09122252464294
protein_homo,ADASYN,LGBM,0.992573971254183,0.0011571678517148,1.3779998302459715,6.889999151229858
protein_homo,ADASYN,MLP,0.9804544670973664,0.0025312140525681,89.6847279548645,448.4236397743225
protein_homo,G-SMOTE,RF,0.9678723824336648,0.004581576246857,20.11992769241333,100.59963846206664
protein_homo,G-SMOTE,LGBM,0.9855868575163512,0.0018067121387709,4.062613391876221,20.313066959381104
protein_homo,G-SMOTE,MLP,0.9802545802743096,0.0095171531702505,77.42660655975342,387.1330327987671
unsw_nb15,NoOverSampling,RF,0.9061818561623755,0.0016191948437900702,4.117105770111084,20.58552885055542
unsw_nb15,NoOverSampling,LGBM,0.9176280246918254,0.002163150991600116,0.4979996204376221,2.4899981021881104
unsw_nb15,NoOverSampling,MLP,0.508456349171962,0.007351610847955442,130.406907081604,652.03453540802
unsw_nb15,SMOTE,RF,0.9113290763619458,0.003644136931545863,11.629413223266601,58.14706611633301
unsw_nb15,SMOTE,LGBM,0.9171956763875038,0.004610839443751478,1.6539106845855713,8.269553422927856
unsw_nb15,SMOTE,MLP,0.5085284714421497,0.0007572638461654282,209.08404550552368,1045.4202275276184
unsw_nb15,ADASYN,RF,0.9141417318107553,0.0037583698049129238,11.139266109466552,55.696330547332764
unsw_nb15,ADASYN,LGBM,0.9163533132040025,0.005105326720085638,1.8631980895996094,9.315990447998047
unsw_nb15,ADASYN,MLP,0.5086350413318357,0.0012511637099643141,227.32950682640075,1136.6475341320038
unsw_nb15,G-SMOTE,RF,0.8687281907322195,0.012176465313917261,18.41714792251587,92.08573961257935
unsw_nb15,G-SMOTE,LGBM,0.9084089154730212,0.004704915642084192,5.903999948501587,29.519999742507935
unsw_nb15,G-SMOTE,MLP,0.5189023945561322,0.01184999523279994,62.39120054244995,311.95600271224976
fraud_detection,NoOverSampling,RF,0.9800129097623577,0.006386276400540869,17.18457555770874,85.9228777885437
fraud_detection,NoOverSampling,LGBM,0.8387990783708814,0.04107766025188057,0.5047996520996094,2.523998260498047
fraud_detection,NoOverSampling,MLP,0.7952326859901707,0.1376040134833852,25.730237913131713,128.65118956565857
fraud_detection,SMOTE,RF,0.9837756563563703,0.006028967313393473,40.672840642929074,203.36420321464539
fraud_detection,SMOTE,LGBM,0.9778922333455661,0.0079346490571684,1.0378005981445313,5.189002990722656
fraud_detection,SMOTE,MLP,0.9755954293729296,0.005699155576293151,370.9774809360504,1854.887404680252
fraud_detection,ADASYN,RF,0.9836927140714942,0.007719183998353782,36.773747491836545,183.86873745918274
fraud_detection,ADASYN,LGBM,0.9782035516778922,0.007311872118280841,1.0895997047424317,5.447998523712158
fraud_detection,ADASYN,MLP,0.976498590156982,0.006517017245678461,449.72758316993713,2248.6379158496857
fraud_detection,G-SMOTE,RF,0.9720808746695528,0.008065743057598199,42.78872203826904,213.94361019134521
fraud_detection,G-SMOTE,LGBM,0.9682603374702932,0.012905183304258777,6.137799263000488,30.68899631500244
fraud_detection,G-SMOTE,MLP,0.971123738683362,0.005518423869282237,390.1833559036255,1950.9167795181274
