dataset,SMOTE,ADASYN,G-SMOTE,CTGAN,TVAE,G-CTGAN,Q-G-CTGAN_adaptive
credit_default,0.693,0.6861,0.6792,0.6767,0.6794,0.6779,0.6767
fraud_detection,0.8321,0.6166,0.8713,0.8924,0.8921,0.8856,0.8985
pima_diabetes,0.7301,0.7499,0.7561,0.6942,0.7488,0.7267,0.7488
ibm_attrition,0.6118,0.6331,0.6302,0.5528,0.5689,0.5526,0.5582
yeast_me2,0.5904,0.5974,0.6213,0.4909,0.5464,0.4909,0.6682
mammography,0.8087,0.773,0.771,0.81,0.8105,0.798,0.8391
abalone_19,0.5095,0.5085,0.535,0.498,0.498,0.498,0.498
wine_quality,0.6029,0.6119,0.6324,0.5463,0.5692,0.5847,0.6629
ecoli,0.847,0.8109,0.8283,0.889,0.8335,0.8671,0.8671
pageblocks,0.7088,0.7207,0.7207,0.6758,0.8186,0.7839,0.8321
protein_homo,0.8607,0.721,0.8813,0.911,0.8475,0.9055,0.9164
