dataset,oversampler,classifier,auc_mean,auc_std,time_mean_sec,time_total_sec
pima_diabetes,None,RF,0.8294465408805032,0.023027498841218488,0.23415346145629884,1.1707673072814941
pima_diabetes,None,LGBM,0.802314465408805,0.026687601255905396,0.0595210075378418,0.297605037689209
pima_diabetes,None,MLP,0.6797274633123689,0.024183820485474173,0.11101651191711426,0.5550825595855713
pima_diabetes,SMOTE,RF,0.8289517819706498,0.025124966010511948,0.22160005569458008,1.1080002784729004
pima_diabetes,SMOTE,LGBM,0.8063228511530397,0.03329244317672004,0.07200021743774414,0.3600010871887207
pima_diabetes,SMOTE,MLP,0.738508036338225,0.03327296371711124,0.1613999843597412,0.806999921798706
pima_diabetes,ADASYN,RF,0.8153766596785464,0.033521066568709075,0.22480030059814454,1.1240015029907227
pima_diabetes,ADASYN,LGBM,0.8017295597484276,0.03062838298745432,0.06179957389831543,0.30899786949157715
pima_diabetes,ADASYN,MLP,0.7374444444444445,0.03569503973324674,0.269199800491333,1.345999002456665
pima_diabetes,G-SMOTE,RF,0.8273787561146053,0.01955380667430338,0.22760000228881835,1.1380000114440918
pima_diabetes,G-SMOTE,LGBM,0.8023577917540182,0.03262097482197218,0.08220000267028808,0.41100001335144043
pima_diabetes,G-SMOTE,MLP,0.7198763102725367,0.028083132781557812,0.20260000228881836,1.0130000114440918
credit_default,None,RF,0.7791028060509303,0.0062734876278429655,0.5767019271850586,2.883509635925293
credit_default,None,LGBM,0.7830800709508795,0.005816013470617436,0.13659915924072266,0.6829957962036133
credit_default,None,MLP,0.5897062392701401,0.050069483923237276,11.999398946762085,59.996994733810425
credit_default,SMOTE,RF,0.7772751367836358,0.00457589187645386,0.9507113456726074,4.753556728363037
credit_default,SMOTE,LGBM,0.7810494161938945,0.0061240033393478235,0.20339951515197754,1.0169975757598877
credit_default,SMOTE,MLP,0.5806706725660706,0.05369756297769783,23.111442852020264,115.55721426010132
credit_default,ADASYN,RF,0.776077590930515,0.004027260643964756,1.0283917903900146,5.141958951950073
credit_default,ADASYN,LGBM,0.7809748449259594,0.005817431215519124,0.2839992046356201,1.4199960231781006
credit_default,ADASYN,MLP,0.5384803757023026,0.05162818278085831,24.270212364196777,121.35106182098389
credit_default,G-SMOTE,RF,0.7757810571757668,0.0055515924330945205,1.1869996547698975,5.934998273849487
credit_default,G-SMOTE,LGBM,0.7841912044689636,0.0056101954063174555,0.6157994270324707,3.0789971351623535
credit_default,G-SMOTE,MLP,0.6379916849397169,0.01364810722597192,18.89720959663391,94.48604798316956
ibm_attrition,None,RF,0.8021680348113241,0.02451205821260965,0.22300405502319337,1.1150202751159668
ibm_attrition,None,LGBM,0.8062642370383133,0.018764556030755122,0.10480012893676757,0.5240006446838379
ibm_attrition,None,MLP,0.6195949721632198,0.01373587368148911,0.1402000904083252,0.701000452041626
ibm_attrition,SMOTE,RF,0.8134634220459269,0.022658397206385756,0.23670129776000975,1.1835064888000488
ibm_attrition,SMOTE,LGBM,0.796741981153768,0.02409239795455524,0.1390000343322754,0.695000171661377
ibm_attrition,SMOTE,MLP,0.5927331197573326,0.06668862156510645,0.21299996376037597,1.0649998188018799
ibm_attrition,ADASYN,RF,0.81281911216907,0.018326549124473776,0.24440011978149415,1.2220005989074707
ibm_attrition,ADASYN,LGBM,0.794685848179655,0.015029723348302647,0.1331995964050293,0.6659979820251465
ibm_attrition,ADASYN,MLP,0.5855065687926455,0.047514526514059054,0.2818002223968506,1.409001111984253
ibm_attrition,G-SMOTE,RF,0.8022319132711958,0.022858969446846716,0.3066000461578369,1.5330002307891846
ibm_attrition,G-SMOTE,LGBM,0.8020075580902677,0.0228361753749868,0.14551024436950682,0.7275512218475342
ibm_attrition,G-SMOTE,MLP,0.580680550565735,0.05050392913373261,0.3082000732421875,1.5410003662109375
ecoli,None,RF,0.9280444964871195,0.05213014864404203,0.18879990577697753,0.9439995288848877
ecoli,None,LGBM,0.9529742388758782,0.028714108619660207,0.03140006065368652,0.15700030326843262
ecoli,None,MLP,0.945800156128025,0.048667991690763086,0.41459999084472654,2.072999954223633
ecoli,SMOTE,RF,0.9412919594067135,0.03373605732939517,0.19819998741149902,0.9909999370574951
ecoli,SMOTE,LGBM,0.9544418423106948,0.01750806125389932,0.04500050544738769,0.22500252723693848
ecoli,SMOTE,MLP,0.9524277907884466,0.03529534985423437,0.7449996948242188,3.7249984741210938
ecoli,ADASYN,RF,0.9320999219359877,0.02809695701264369,0.20179996490478516,1.0089998245239258
ecoli,ADASYN,LGBM,0.9478298204527713,0.019912806034421353,0.04980006217956543,0.24900031089782715
ecoli,ADASYN,MLP,0.9424434035909446,0.049659417588019075,0.7619999885559082,3.809999942779541
ecoli,G-SMOTE,RF,0.94391881342701,0.0355974071100089,0.20650186538696289,1.0325093269348145
ecoli,G-SMOTE,LGBM,0.9454254488680718,0.025001971632732708,0.05920000076293945,0.29600000381469727
ecoli,G-SMOTE,MLP,0.9481186572989853,0.03707948065734103,0.7426001548767089,3.713000774383545
wine_quality,None,RF,0.8671222123502081,0.031855378828519715,0.24200000762939453,1.2100000381469727
wine_quality,None,LGBM,0.8678659571554588,0.029029301288239474,0.08639998435974121,0.43199992179870605
wine_quality,None,MLP,0.8156122718688998,0.03985777893614629,1.1124002933502197,5.562001466751099
wine_quality,SMOTE,RF,0.8509180973125829,0.015346842489672972,0.3381022930145264,1.6905114650726318
wine_quality,SMOTE,LGBM,0.8455857766568264,0.02311489164055259,0.09199981689453125,0.45999908447265625
wine_quality,SMOTE,MLP,0.7896671857435378,0.048085000850972524,2.1506000995635985,10.753000497817993
wine_quality,ADASYN,RF,0.8466705836271053,0.014531196672809275,0.33490419387817383,1.6745209693908691
wine_quality,ADASYN,LGBM,0.8495817132084366,0.015304947461868492,0.10119976997375488,0.5059988498687744
wine_quality,ADASYN,MLP,0.7706912639044134,0.05765965885328383,2.8598001480102537,14.29900074005127
wine_quality,G-SMOTE,RF,0.842023253370019,0.0360085874772875,0.37739992141723633,1.8869996070861816
wine_quality,G-SMOTE,LGBM,0.876441393673631,0.020819971067060312,0.194600248336792,0.97300124168396
wine_quality,G-SMOTE,MLP,0.7778508625274266,0.05008614085519836,1.9410065174102784,9.705032587051392
yeast_me2,None,RF,0.934389690132484,0.016609880712626562,0.22299504280090332,1.1149752140045166
yeast_me2,None,LGBM,0.9325189444701639,0.010664249283907168,0.061399412155151364,0.30699706077575684
yeast_me2,None,MLP,0.8968586181003033,0.0439398388096058,1.051200008392334,5.25600004196167
yeast_me2,SMOTE,RF,0.9276814759519858,0.02640349353525629,0.22960348129272462,1.148017406463623
yeast_me2,SMOTE,LGBM,0.9393015853326275,0.007397307662948043,0.06659998893737792,0.33299994468688965
yeast_me2,SMOTE,MLP,0.8842196163038736,0.022242254987306854,1.970400047302246,9.85200023651123
yeast_me2,ADASYN,RF,0.9307601710927653,0.0142467095617926,0.23130216598510742,1.156510829925537
yeast_me2,ADASYN,LGBM,0.9234890165267104,0.03260179437058194,0.08099989891052246,0.4049994945526123
yeast_me2,ADASYN,MLP,0.8760460603697855,0.01908808104610429,2.050407314300537,10.252036571502686
yeast_me2,G-SMOTE,RF,0.937933596337144,0.03425948115403985,0.2635027885437012,1.3175139427185059
yeast_me2,G-SMOTE,LGBM,0.9408763741801435,0.014868989289673224,0.10279979705810546,0.5139989852905273
yeast_me2,G-SMOTE,MLP,0.9018588949852809,0.04369550311106728,2.8850001811981203,14.4250009059906
mammography,None,RF,0.9418737539597644,0.016023813637979358,0.2775017261505127,1.3875086307525635
mammography,None,LGBM,0.9415052311122546,0.01586195266460912,0.0866002082824707,0.4330010414123535
mammography,None,MLP,0.9577502775784328,0.012515061502661387,3.7009994983673096,18.504997491836548
mammography,SMOTE,RF,0.9481352141448296,0.011813810269625748,0.4039021015167236,2.019510507583618
mammography,SMOTE,LGBM,0.9323558240371961,0.016818480377500875,0.10719976425170899,0.5359988212585449
mammography,SMOTE,MLP,0.9215039895048915,0.012560515417696642,9.646009492874146,48.23004746437073
mammography,ADASYN,RF,0.9392190406554075,0.011559336607340842,0.4057030200958252,2.028515100479126
mammography,ADASYN,LGBM,0.9295530378718857,0.015302538633337128,0.1179999828338623,0.5899999141693115
mammography,ADASYN,MLP,0.9098574936182752,0.023669779399007055,8.848199939727783,44.240999698638916
mammography,G-SMOTE,RF,0.9282751168182871,0.012382547718563877,0.6086036682128906,3.043018341064453
mammography,G-SMOTE,LGBM,0.9241739506825979,0.017131650770347378,0.33099989891052245,1.6549994945526123
mammography,G-SMOTE,MLP,0.9359708297628557,0.021112812767746753,13.952645397186279,69.7632269859314
abalone_19,None,RF,0.770055718306623,0.07698837484860144,0.23739986419677733,1.1869993209838867
abalone_19,None,LGBM,0.7406111781262565,0.03368169415416398,0.07720003128051758,0.3860001564025879
abalone_19,None,MLP,0.8006663220173473,0.09277334135204722,1.4008000850677491,7.004000425338745
abalone_19,SMOTE,RF,0.7932707220403239,0.06166146625938385,0.2988001823425293,1.4940009117126465
abalone_19,SMOTE,LGBM,0.7781032799126888,0.06032709805363921,0.08599996566772461,0.42999982833862305
abalone_19,SMOTE,MLP,0.7863059337124476,0.08806523478887808,6.182199954986572,30.91099977493286
abalone_19,ADASYN,RF,0.813022000114883,0.04732096165440879,0.3049024105072021,1.5245120525360107
abalone_19,ADASYN,LGBM,0.7675455224309266,0.08673558434971547,0.09780006408691407,0.4890003204345703
abalone_19,ADASYN,MLP,0.7785915331150555,0.09458498901817633,4.625007677078247,23.125038385391235
abalone_19,G-SMOTE,RF,0.7864380492848527,0.03616087163492468,0.38359990119934084,1.917999505996704
abalone_19,G-SMOTE,LGBM,0.687394451145959,0.11374770647666925,0.20320005416870118,1.0160002708435059
abalone_19,G-SMOTE,MLP,0.7667413406858522,0.06643983554008291,8.086000013351441,40.4300000667572
pageblocks,None,RF,0.9993755739210286,0.00037267783912399346,0.25100021362304686,1.2550010681152344
pageblocks,None,LGBM,0.9977869605142331,0.0020904394159973797,0.07559995651245117,0.37799978256225586
pageblocks,None,MLP,0.8998347107438016,0.1193905880851924,0.46370511054992675,2.318525552749634
pageblocks,SMOTE,RF,0.9994612794612794,0.0003572754566615163,0.3235025882720947,1.6175129413604736
pageblocks,SMOTE,LGBM,0.9995561677379861,0.00017689847905474692,0.08119988441467285,0.40599942207336426
pageblocks,SMOTE,MLP,0.9602601775329049,0.0721975939285138,1.1019999980926514,5.509999990463257
pageblocks,ADASYN,RF,0.9994306703397614,0.00029840361449534126,0.3395031452178955,1.6975157260894775
pageblocks,ADASYN,LGBM,0.9995714722987449,0.00018467221461887886,0.08680024147033691,0.43400120735168457
pageblocks,ADASYN,MLP,0.9442363024181205,0.060104669599642564,0.7832000255584717,3.9160001277923584
pageblocks,G-SMOTE,RF,0.9987327823691461,0.0009616526705042793,0.4261838436126709,2.1309192180633545
pageblocks,G-SMOTE,LGBM,0.9824395469850016,0.032368832097677505,0.21700005531311034,1.0850002765655518
pageblocks,G-SMOTE,MLP,0.996082032445669,0.0008823182148096583,1.4612000465393067,7.306000232696533
satellite,None,RF,0.9533092161929371,0.005472608538729022,0.2596000671386719,1.2980003356933594
satellite,None,LGBM,0.9623180017226527,0.004552844751230433,0.08660001754760742,0.4330000877380371
satellite,None,MLP,0.9654683893195521,0.007518629899073034,4.133599948883057,20.667999744415283
satellite,SMOTE,RF,0.9569198966408269,0.004348957493096313,0.45461349487304686,2.2730674743652344
satellite,SMOTE,LGBM,0.9628472006890612,0.0045577765523897645,0.14691600799560547,0.7345800399780273
satellite,SMOTE,MLP,0.9655290267011198,0.006371565736464088,5.862759399414062,29.313796997070312
satellite,ADASYN,RF,0.9499734711455641,0.005563911066741335,0.5027734279632569,2.513867139816284
satellite,ADASYN,LGBM,0.9604837209302325,0.00255924919308632,0.14079980850219725,0.7039990425109863
satellite,ADASYN,MLP,0.9636024117140396,0.006472231368060067,5.9157124042510985,29.578562021255493
satellite,G-SMOTE,RF,0.9534360034453059,0.005818421287768323,0.6135021686553955,3.0675108432769775
satellite,G-SMOTE,LGBM,0.9558008613264427,0.005598075648169646,0.2605998992919922,1.302999496459961
satellite,G-SMOTE,MLP,0.959494918173988,0.007135784236651602,6.147009658813476,30.735048294067383
churn,None,RF,0.9180573533444806,0.01961713494887493,0.2813722133636475,1.4068610668182373
churn,None,LGBM,0.9228699140422322,0.020621879052959622,0.13699512481689452,0.6849756240844727
churn,None,MLP,0.6678607708600737,0.04952160165057372,0.4798888683319092,2.399444341659546
churn,SMOTE,RF,0.920188823538765,0.018868464234559585,0.37074646949768064,1.8537323474884033
churn,SMOTE,LGBM,0.9198184982183527,0.019879487190009575,0.13679943084716797,0.6839971542358398
churn,SMOTE,MLP,0.7121577093367961,0.044387749725115305,1.0282368659973145,5.141184329986572
churn,ADASYN,RF,0.91873725302031,0.01877879309777698,0.36140003204345705,1.8070001602172852
churn,ADASYN,LGBM,0.9198695075037444,0.01752620240256223,0.13259992599487305,0.6629996299743652
churn,ADASYN,MLP,0.7359736269068018,0.041121277122721005,0.9360762119293213,4.6803810596466064
churn,G-SMOTE,RF,0.9126018884701563,0.020042167305229303,0.42221722602844236,2.111086130142212
churn,G-SMOTE,LGBM,0.9196381914555369,0.022565847678654497,0.22140002250671387,1.1070001125335693
churn,G-SMOTE,MLP,0.6466867619450593,0.0748587901945291,1.3499252319335937,6.749626159667969
