dataset,method,classifier,generation_time,train_time,n_synthetic,AUC,PR_AUC,F1,Precision,Recall,G_mean,Balanced_Acc
credit_default,KMeans_CTGAN,RF,78.6,0.7,11710,0.7609,0.5409,0.6791,0.7431,0.6558,0.5899,0.6558
credit_default,KMeans_CTGAN,LGBM,78.6,0.14,11710,0.7811,0.5456,0.6793,0.7522,0.6547,0.5852,0.6547
credit_default,KMeans_CTGAN,MLP,78.6,41.6,11710,0.6799,0.3657,0.6073,0.6229,0.5996,0.532,0.5996
credit_default,CTGAN_MOS,RF,89.92,0.68,11710,0.7659,0.5436,0.6784,0.7442,0.6549,0.5878,0.6549
credit_default,CTGAN_MOS,LGBM,89.92,0.14,11710,0.781,0.5519,0.679,0.7525,0.6544,0.5845,0.6544
credit_default,CTGAN_MOS,MLP,89.92,40.91,11710,0.6947,0.3917,0.6227,0.6472,0.612,0.5429,0.612
fraud_detection,KMeans_CTGAN,RF,64.32,24.67,198676,0.9579,0.8019,0.8992,0.8902,0.9086,0.904,0.9086
fraud_detection,KMeans_CTGAN,LGBM,64.32,0.67,198676,0.951,0.8026,0.8885,0.8822,0.8951,0.8889,0.8951
fraud_detection,KMeans_CTGAN,MLP,64.32,37.84,198676,0.963,0.8148,0.9055,0.9284,0.885,0.8776,0.885
fraud_detection,CTGAN_MOS,RF,112.93,28.14,198676,0.9542,0.7693,0.8857,0.8831,0.8883,0.8813,0.8883
fraud_detection,CTGAN_MOS,LGBM,112.93,0.66,198676,0.9544,0.7113,0.8862,0.8717,0.9018,0.8965,0.9018
fraud_detection,CTGAN_MOS,MLP,112.93,31.95,198676,0.9617,0.7891,0.8992,0.8965,0.9018,0.8965,0.9018
pima_diabetes,KMeans_CTGAN,RF,37.61,0.29,163,0.8159,0.7174,0.7057,0.7093,0.703,0.6942,0.703
pima_diabetes,KMeans_CTGAN,LGBM,37.61,0.06,163,0.8061,0.6694,0.6979,0.6998,0.6963,0.6885,0.6963
pima_diabetes,KMeans_CTGAN,MLP,37.61,0.92,163,0.7826,0.6387,0.6743,0.6717,0.6786,0.6759,0.6786
pima_diabetes,CTGAN_MOS,RF,6.6,0.22,163,0.8048,0.6696,0.7057,0.7093,0.703,0.6942,0.703
pima_diabetes,CTGAN_MOS,LGBM,6.6,0.06,163,0.8083,0.6666,0.7097,0.7142,0.7063,0.6971,0.7063
pima_diabetes,CTGAN_MOS,MLP,6.6,0.89,163,0.7244,0.6011,0.6497,0.6475,0.6558,0.6538,0.6558
ibm_attrition,KMeans_CTGAN,RF,75.9,0.24,697,0.779,0.3984,0.5545,0.6634,0.5499,0.3512,0.5499
ibm_attrition,KMeans_CTGAN,LGBM,75.9,0.09,697,0.7616,0.4422,0.6166,0.7454,0.5935,0.454,0.5935
ibm_attrition,KMeans_CTGAN,MLP,75.9,0.77,697,0.7402,0.4396,0.6867,0.7051,0.6734,0.6249,0.6734
ibm_attrition,CTGAN_MOS,RF,17.69,0.27,697,0.7805,0.4008,0.5439,0.6478,0.5428,0.3311,0.5428
ibm_attrition,CTGAN_MOS,LGBM,17.69,0.09,697,0.7609,0.4304,0.6166,0.7454,0.5935,0.454,0.5935
ibm_attrition,CTGAN_MOS,MLP,17.69,0.76,697,0.7181,0.4027,0.6262,0.6311,0.622,0.5604,0.622
yeast_me2,KMeans_CTGAN,RF,7.93,0.24,483,0.9203,0.2868,0.697,0.7039,0.6907,0.6266,0.6907
yeast_me2,KMeans_CTGAN,LGBM,7.93,0.06,483,0.8868,0.3009,0.6738,0.7732,0.6299,0.5146,0.6299
yeast_me2,KMeans_CTGAN,MLP,7.93,1.77,483,0.7414,0.1392,0.5904,0.5713,0.6377,0.5604,0.6377
yeast_me2,CTGAN_MOS,RF,6.79,0.25,966,0.9231,0.251,0.4897,0.4831,0.4965,0.0,0.4965
yeast_me2,CTGAN_MOS,LGBM,6.79,0.08,966,0.8934,0.3025,0.6207,0.6738,0.5942,0.4446,0.5942
