dataset,method,classifier,AUC,PR_AUC,F1,Precision,Recall,G_mean,Balanced_Acc,generation_time,train_time,method_group,root_larger,root_smaller,minority_class_recall,majority_class_recall
credit_default,Q-G-CTGAN,RF,0.7626,0.541,0.6786,0.7444,0.6551,0.5882,0.6551,100.604,0.66,proposed,0.9435038314585993,0.36669616854140075,0.36669616854140075,0.9435038314585993
credit_default,Q-G-CTGAN,LGBM,0.7794,0.548,0.6752,0.7494,0.651,0.5791,0.651,100.604,0.14,proposed,0.9483956791885183,0.35360432081148174,0.35360432081148174,0.9483956791885183
credit_default,Q-G-CTGAN,MLP,0.6677,0.3601,0.599,0.6187,0.5911,0.5138,0.5911,100.604,42.63,proposed,0.8833477886999317,0.2988522113000683,0.2988522113000683,0.8833477886999317
fraud_detection,Q-G-CTGAN,RF,0.9692,0.8054,0.8934,0.8764,0.9119,0.9077,0.9119,41.172,9.79,proposed,0.9993203637603975,0.8244796362396026,0.8244796362396026,0.9993203637603975
fraud_detection,Q-G-CTGAN,LGBM,0.9559,0.7336,0.8728,0.8406,0.9118,0.9076,0.9118,41.172,0.44,proposed,0.9992155592557761,0.824384440744224,0.824384440744224,0.9992155592557761
fraud_detection,Q-G-CTGAN,MLP,0.948,0.7872,0.9078,0.9378,0.8817,0.8737,0.8817,41.172,34.52,proposed,1.0002040083710253,0.7631959916289748,0.7631959916289748,1.0002040083710253
pima_diabetes,Q-G-CTGAN,RF,0.8218,0.7113,0.7053,0.7053,0.7053,0.6998,0.7053,13.389999999999999,0.22,proposed,0.7932093282877313,0.6173906717122688,0.6173906717122688,0.7932093282877313
pima_diabetes,Q-G-CTGAN,LGBM,0.8177,0.6916,0.7075,0.7095,0.7058,0.6986,0.7058,13.389999999999999,0.05,proposed,0.8063568495926555,0.6052431504073444,0.6052431504073444,0.8063568495926555
pima_diabetes,Q-G-CTGAN,MLP,0.7765,0.665,0.6858,0.6838,0.6886,0.6849,0.6886,13.389999999999999,0.88,proposed,0.7598877969921926,0.6173122030078074,0.6173122030078074,0.7598877969921926
ibm_attrition,Q-G-CTGAN,RF,0.7669,0.3989,0.5345,0.6435,0.5371,0.3102,0.5371,51.16000000000001,0.25,proposed,0.9755659279807269,0.09863407201927304,0.09863407201927304,0.9755659279807269
