dataset,ADASYN,CTAB-GAN+,CTGAN-MOS,G-SMOTE,K-means CTGAN,None,Q-G-CTGAN,SMOTE,ctdGAN
credit_default,78.7,1647.3,103.8,88.7,92.7,56.7,115.1,87.6,751.1
fraud_detection,201.7,,133.2,294.4,85.4,90.3,56.1,189.5,7689.3
pima_diabetes,2.9,22.1,7.0,3.0,38.0,2.4,13.8,2.9,22.4
ibm_attrition,1.7,51.2,18.1,2.1,76.3,1.6,51.5,1.7,43.8
yeast_me2,4.9,18.2,7.6,4.2,8.6,3.6,5.6,4.8,30.2
mammography,23.7,214.5,8.3,26.1,13.9,7.0,26.5,20.0,239.6
abalone_19,7.7,72.5,6.5,9.2,34.1,6.1,16.3,7.8,85.5
wine_quality,9.2,92.6,10.2,13.7,16.9,6.9,10.4,8.9,103.9
ecoli,1.8,,5.7,2.0,6.0,1.3,6.2,2.0,7.0
pageblocks,3.1,108.1,8.9,6.2,21.1,1.8,16.4,3.0,118.5
protein_homo,90.4,,112.3,123.8,111.0,45.6,70.9,92.4,6012.1
satellite,11.2,352.6,20.0,10.1,30.4,7.1,24.2,10.9,178.2
churn,6.4,247.1,10.6,7.3,29.8,5.4,31.0,6.1,116.3
secom,2.8,485.9,168.9,3.1,161.8,2.2,151.5,3.3,232.7
thyroid_sick,6.0,203.2,21.1,8.2,20.0,3.6,9.8,5.9,117.1
unsw_nb15,1497.7,,336.8,920.7,646.3,112.7,258.5,1379.7,12861.0
