dataset,weight_mode,AUC,F1,Precision,Recall
credit_default,full,0.7638,0.6776,0.7421,0.6544
credit_default,density,0.7645,0.678,0.7433,0.6547
credit_default,sep,0.7628,0.6773,0.7423,0.654
credit_default,lof,0.7628,0.6768,0.7397,0.654
fraud_detection,full,0.9765,0.8985,0.892,0.9052
fraud_detection,density,0.972,0.8985,0.9054,0.8917
fraud_detection,sep,0.9735,0.8992,0.8965,0.9018
fraud_detection,lof,0.9756,0.9005,0.8992,0.9019
pima_diabetes,full,0.836,0.7188,0.7194,0.7181
pima_diabetes,density,0.8428,0.7211,0.724,0.7186
pima_diabetes,sep,0.8281,0.7448,0.7435,0.7462
pima_diabetes,lof,0.8434,0.7341,0.7308,0.739
ibm_attrition,full,0.7738,0.5564,0.6767,0.5512
ibm_attrition,density,0.7777,0.5508,0.7119,0.5482
ibm_attrition,sep,0.7725,0.5564,0.6767,0.5512
ibm_attrition,lof,0.7766,0.5362,0.6582,0.5385
yeast_me2,full,0.9264,0.6754,0.6968,0.6585
yeast_me2,density,0.9285,0.7011,0.6851,0.7206
yeast_me2,sep,0.9278,0.6913,0.7385,0.6609
yeast_me2,lof,0.9104,0.697,0.7039,0.6907
mammography,full,0.9645,0.8495,0.8085,0.9043
mammography,density,0.9641,0.8249,0.7764,0.8962
mammography,sep,0.9641,0.8507,0.8037,0.9167
mammography,lof,0.9635,0.8284,0.7785,0.9026
abalone_19,full,0.8282,0.498,0.496,0.5
abalone_19,density,0.8142,0.498,0.496,0.5
abalone_19,sep,0.8156,0.498,0.496,0.5
abalone_19,lof,0.8703,0.498,0.496,0.5
wine_quality,full,0.8945,0.6409,0.6749,0.6191
wine_quality,density,0.8616,0.6502,0.6834,0.6282
wine_quality,sep,0.8908,0.6526,0.7116,0.6213
wine_quality,lof,0.872,0.6446,0.7096,0.6125
ecoli,full,0.9737,0.8671,0.8835,0.8525
ecoli,density,0.9657,0.8671,0.8835,0.8525
ecoli,sep,0.9717,0.847,0.847,0.847
ecoli,lof,0.9687,0.8671,0.8835,0.8525
pageblocks,full,0.998,0.8186,0.7353,0.9972
pageblocks,density,0.9977,0.8062,0.7222,0.9969
pageblocks,sep,0.9978,0.8186,0.7353,0.9972
pageblocks,lof,0.9988,0.8186,0.7353,0.9972
protein_homo,full,0.9932,0.9234,0.9624,0.8905
protein_homo,density,0.9923,0.9208,0.953,0.893
protein_homo,sep,0.9937,0.9168,0.9523,0.8865
protein_homo,lof,0.9932,0.9239,0.9693,0.8867
