dataset,SMOTE,ADASYN,G-SMOTE,CTGAN,TVAE,G-CTGAN,Q-G-CTGAN_adaptive
credit_default,0.6937,0.6928,0.6334,0.6793,0.6764,0.679,0.6769
fraud_detection,0.7339,0.6433,0.7797,0.8854,0.8697,0.8606,0.8159
pima_diabetes,0.7188,0.7164,0.7157,0.694,0.7157,0.7363,0.7188
ibm_attrition,0.6703,0.6437,0.5917,0.612,0.6212,0.6212,0.6097
yeast_me2,0.6074,0.6074,0.6373,0.5967,0.6653,0.642,0.6157
mammography,0.8147,0.7786,0.8231,0.8495,0.825,0.8352,0.8231
abalone_19,0.4956,0.4939,0.4946,0.498,0.498,0.4978,0.498
wine_quality,0.7,0.6601,0.6545,0.6101,0.5553,0.5896,0.6885
ecoli,0.8234,0.8283,0.8283,0.889,0.8671,0.8335,0.847
pageblocks,0.7088,0.7485,0.6885,0.7645,0.8062,0.8062,0.8627
protein_homo,0.8073,0.7238,0.831,0.9138,0.8751,0.9134,0.8942
