dataset,SMOTE,ADASYN,G-SMOTE,CTGAN,TVAE,G-CTGAN,Q-G-CTGAN_adaptive
credit_default,0.6293,0.6121,0.6109,0.6428,0.6296,0.6504,0.6175
fraud_detection,0.8849,0.902,0.8651,0.8964,0.8992,0.8946,0.9019
pima_diabetes,0.7092,0.7148,0.7085,0.6883,0.6806,0.6845,0.7314
ibm_attrition,0.6615,0.6777,0.6834,0.668,0.6861,0.6481,0.6759
yeast_me2,0.5985,0.6336,0.6283,0.5789,0.6139,0.5289,0.6112
mammography,0.7966,0.7588,0.4493,0.8208,0.8329,0.7847,0.8487
abalone_19,0.5277,0.5442,0.5149,0.4978,0.496,0.4909,0.4966
wine_quality,0.6769,0.6797,0.6848,0.7209,0.6431,0.6854,0.7101
ecoli,0.8283,0.8283,0.8109,0.8076,0.8581,0.8342,0.8581
pageblocks,0.8062,0.7946,0.7946,0.7712,0.7674,0.8186,0.803
protein_homo,0.9021,0.921,0.9142,0.932,0.9195,0.9198,0.9329
