dataset,SMOTE,ADASYN,G-SMOTE,CTGAN,TVAE,G-CTGAN,Q-G-CTGAN_adaptive
credit_default,0.6901,0.6788,0.6876,0.7096,0.7002,0.7117,0.6801
fraud_detection,0.9489,0.9369,0.9384,0.9657,0.956,0.9643,0.9517
pima_diabetes,0.7811,0.7945,0.7816,0.7467,0.7817,0.7604,0.7981
ibm_attrition,0.7414,0.7454,0.7438,0.7117,0.7399,0.6868,0.7166
yeast_me2,0.8192,0.8074,0.8076,0.7903,0.77,0.8107,0.8908
mammography,0.9413,0.9303,0.9258,0.9672,0.9686,0.9631,0.9735
abalone_19,0.8453,0.8322,0.8321,0.8776,0.7995,0.8031,0.801
wine_quality,0.8073,0.8028,0.8067,0.8443,0.8195,0.8406,0.8332
ecoli,0.898,0.901,0.9,0.9283,0.9162,0.9232,0.9101
pageblocks,0.9987,0.9985,0.9984,0.9969,0.9959,0.9992,0.9976
protein_homo,0.9935,0.9945,0.9946,0.9952,0.9949,0.9946,0.9948
