dataset,oversampling,classifier,alpha_mode,alpha_value,best_k,n_candidates,n_synthetic,minority_ratio,mmd_before,mmd_after,filter_time,train_time,AUC,F1,Precision,Recall
credit_default,Q-G-CTGAN_a0.1,RF,fixed,0.1,9,23225,11710,0.5,0.010686,0.015233,36.03,0.77,0.7632,0.6813,0.7447,0.6578
credit_default,Q-G-CTGAN_a0.1,LGBM,fixed,0.1,9,23225,11710,0.5,0.010686,0.015233,36.03,0.27,0.7815,0.6762,0.7511,0.6518
credit_default,Q-G-CTGAN_a0.1,MLP,fixed,0.1,9,23225,11710,0.5,0.010686,0.015233,36.03,91.83,0.6853,0.6219,0.6452,0.6115
credit_default,Q-G-CTGAN_a0.2,RF,fixed,0.2,9,23225,11710,0.5,0.014358,0.009989,25.65,0.75,0.7634,0.6771,0.7456,0.6534
credit_default,Q-G-CTGAN_a0.2,LGBM,fixed,0.2,9,23225,11710,0.5,0.014358,0.009989,25.65,34.53,0.7798,0.6773,0.7512,0.6529
credit_default,Q-G-CTGAN_a0.2,MLP,fixed,0.2,9,23225,11710,0.5,0.014358,0.009989,25.65,48.78,0.6874,0.6126,0.6393,0.6023
credit_default,Q-G-CTGAN_a0.3,RF,fixed,0.3,9,23225,11710,0.5,0.013495,0.009583,20.68,0.77,0.7651,0.6786,0.7459,0.6549
credit_default,Q-G-CTGAN_a0.3,LGBM,fixed,0.3,9,23225,11710,0.5,0.013495,0.009583,20.68,0.22,0.7789,0.6778,0.7501,0.6534
credit_default,Q-G-CTGAN_a0.3,MLP,fixed,0.3,9,23225,11710,0.5,0.013495,0.009583,20.68,60.29,0.6829,0.6173,0.6399,0.6073
credit_default,Q-G-CTGAN_adaptive,RF,adaptive,adaptive,9,23225,11710,0.5,0.010556,0.010839,27.06,0.77,0.7648,0.6767,0.7433,0.6533
credit_default,Q-G-CTGAN_adaptive,LGBM,adaptive,adaptive,9,23225,11710,0.5,0.010556,0.010839,27.06,0.19,0.7795,0.6769,0.7523,0.6523
credit_default,Q-G-CTGAN_adaptive,MLP,adaptive,adaptive,9,23225,11710,0.5,0.010556,0.010839,27.06,57.02,0.6801,0.6175,0.637,0.6082
fraud_detection,Q-G-CTGAN_a0.1,RF,fixed,0.1,6,1720,1547,0.0094,0.060696,0.062649,0.07,15.29,0.9707,0.9018,0.8953,0.9086
fraud_detection,Q-G-CTGAN_a0.1,LGBM,fixed,0.1,6,1720,1547,0.0094,0.060696,0.062649,0.07,0.58,0.9567,0.8312,0.7756,0.915
fraud_detection,Q-G-CTGAN_a0.1,MLP,fixed,0.1,6,1720,1547,0.0094,0.060696,0.062649,0.07,72.55,0.9487,0.883,0.9422,0.8378
fraud_detection,Q-G-CTGAN_a0.2,RF,fixed,0.2,6,1720,1376,0.0086,0.070628,0.072868,0.07,15.3,0.974,0.8992,0.8965,0.9018
fraud_detection,Q-G-CTGAN_a0.2,LGBM,fixed,0.2,6,1720,1376,0.0086,0.070628,0.072868,0.07,0.52,0.9564,0.8268,0.7683,0.9183
fraud_detection,Q-G-CTGAN_a0.2,MLP,fixed,0.2,6,1720,1376,0.0086,0.070628,0.072868,0.07,35.41,0.9533,0.9027,0.9306,0.8783
fraud_detection,Q-G-CTGAN_a0.3,RF,fixed,0.3,6,1720,1203,0.0077,0.049392,0.053211,0.07,14.72,0.9748,0.8978,0.8939,0.9018
fraud_detection,Q-G-CTGAN_a0.3,LGBM,fixed,0.3,6,1720,1203,0.0077,0.049392,0.053211,0.07,0.6,0.9544,0.8189,0.7617,0.9081
fraud_detection,Q-G-CTGAN_a0.3,MLP,fixed,0.3,6,1720,1203,0.0077,0.049392,0.053211,0.07,56.32,0.9506,0.9073,0.9506,0.8716
fraud_detection,Q-G-CTGAN_adaptive,RF,adaptive,adaptive,6,1720,1259,0.008,0.059673,0.052237,0.07,15.11,0.978,0.8985,0.892,0.9052
fraud_detection,Q-G-CTGAN_adaptive,LGBM,adaptive,adaptive,6,1720,1259,0.008,0.059673,0.052237,0.07,0.51,0.9672,0.8159,0.754,0.9182
fraud_detection,Q-G-CTGAN_adaptive,MLP,adaptive,adaptive,6,1720,1259,0.008,0.059673,0.052237,0.07,58.1,0.9517,0.9019,0.9089,0.8951
pima_diabetes,Q-G-CTGAN_a0.1,RF,fixed,0.1,4,935,163,0.5,0.02579,0.019235,0.06,0.25,0.8363,0.7204,0.7198,0.721
pima_diabetes,Q-G-CTGAN_a0.1,LGBM,fixed,0.1,4,935,163,0.5,0.02579,0.019235,0.06,0.06,0.8212,0.6936,0.6922,0.6953
pima_diabetes,Q-G-CTGAN_a0.1,MLP,fixed,0.1,4,935,163,0.5,0.02579,0.019235,0.06,0.96,0.8162,0.7178,0.7146,0.7309
pima_diabetes,Q-G-CTGAN_a0.2,RF,fixed,0.2,4,935,163,0.5,0.035002,0.029022,0.1,0.23,0.832,0.7407,0.7389,0.7428
pima_diabetes,Q-G-CTGAN_a0.2,LGBM,fixed,0.2,4,935,163,0.5,0.035002,0.029022,0.1,0.07,0.8169,0.7363,0.7386,0.7343
